"SIGLA_UF","COD_MUN_TSE","COD_MUN_IBGE","NOME_UF","CODIGO_MESO","NOME_MESO","CODIGO_MICRO","NOME_MICRO","NOME_MUNICIPIO","CODIGO_MACRO","NOME_MACRO"
"MG","50750",3153806,"Minas Gerais","7","Metropolitana de Belo Horizonte","34","Conselheiro Lafaiete","Queluzito","3","Sudeste"
"MG","50776",3153905,"Minas Gerais","7","Metropolitana de Belo Horizonte","30","Belo Horizonte","Raposos","3","Sudeste"
"MG","50792",3154002,"Minas Gerais","12","Zona da Mata","60","Ponte Nova","Raul Soares","3","Sudeste"
"MG","50814",3154101,"Minas Gerais","12","Zona da Mata","66","Cataguases","Recreio","3","Sudeste"
"MG","41424",3154150,"Minas Gerais","12","Zona da Mata","61","Manhuaçu","Reduto","3","Sudeste"
"MG","50830",3154200,"Minas Gerais","11","Campo das Vertentes","58","São João Del Rei","Resende Costa","3","Sudeste"
"MG","50857",3154309,"Minas Gerais","8","Vale do Rio Doce","41","Aimorés","Resplendor","3","Sudeste"
"MG","50873",3154408,"Minas Gerais","11","Campo das Vertentes","59","Barbacena","Ressaquinha","3","Sudeste"
"MG","40606",3154457,"Minas Gerais","2","Norte de Minas","6","Pirapora","Riachinho","3","Sudeste"
"MG","50890",3154507,"Minas Gerais","2","Norte de Minas","4","Janaúba","Riacho dos Machados","3","Sudeste"
"MG","50911",3154606,"Minas Gerais","7","Metropolitana de Belo Horizonte","30","Belo Horizonte","Ribeirão das Neves","3","Sudeste"
"MG","50938",3154705,"Minas Gerais","11","Campo das Vertentes","57","Lavras","Ribeirão Vermelho","3","Sudeste"
"MG","50954",3154804,"Minas Gerais","7","Metropolitana de Belo Horizonte","30","Belo Horizonte","Rio Acima","3","Sudeste"
"MG","50970",3154903,"Minas Gerais","12","Zona da Mata","60","Ponte Nova","Rio Casca","3","Sudeste"
"MG","50997",3155009,"Minas Gerais","12","Zona da Mata","60","Ponte Nova","Rio Doce","3","Sudeste"
"MG","51012",3155108,"Minas Gerais","3","Jequitinhonha","14","Almenara","Rio do Prado","3","Sudeste"
"MG","51039",3155207,"Minas Gerais","12","Zona da Mata","62","Viçosa","Rio Espera","3","Sudeste"
"MG","51055",3155306,"Minas Gerais","7","Metropolitana de Belo Horizonte","32","Itaguara","Rio Manso","3","Sudeste"
"MG","51071",3155405,"Minas Gerais","12","Zona da Mata","65","Juiz de Fora","Rio Novo","3","Sudeste"
"MG","51098",3155504,"Minas Gerais","5","Triângulo Mineiro/Alto Paranaíba","20","Patos de Minas","Rio Paranaíba","3","Sudeste"
"MG","51110",3155603,"Minas Gerais","2","Norte de Minas","5","Salinas","Rio Pardo de Minas","3","Sudeste"
